# Constructed from biom file
#OTU ID	S28.65.Gut.S28	S28.64.Gut.S28	S28.62.Gut.S28	S28.61.Gut.S28	S28.63.Gut.S28
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Aeromonadales;f__Aeromonadaceae	6700.0	2052.0	4818.0	2367.0	2275.0
d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae	1565.0	477.0	2248.0	948.0	593.0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Yersiniaceae	737.0	31.0	167.0	150.0	142.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae	1040.0	455.0	195.0	99.0	161.0
d__Bacteria;p__Fusobacteriota;c__Fusobacteriia;o__Fusobacteriales;f__Fusobacteriaceae	1726.0	1588.0	1030.0	824.0	1553.0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;__;__	390.0	437.0	16.0	179.0	26.0
d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Enterococcaceae	271.0	5.0	91.0	150.0	33.0
d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelatoclostridiaceae	173.0	6.0	22.0	27.0	21.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Dysgonomonadaceae	234.0	13.0	80.0	120.0	100.0
d__Bacteria;p__Firmicutes;c__Bacilli;o__RsaHf231;f__RsaHf231	115.0	9.0	24.0	4.0	23.0
d__Bacteria;p__Firmicutes;c__Bacilli;o__Mycoplasmatales;f__Mycoplasmataceae	93.0	0.0	0.0	4.0	8.0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Aeromonadales;__	79.0	13.0	17.0	0.0	4.0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Rhodocyclaceae	91.0	1.0	37.0	43.0	36.0
d__Bacteria;p__Desulfobacterota;c__Desulfuromonadia;o__Geobacterales;f__Geobacteraceae	72.0	3.0	14.0	43.0	33.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae	79.0	1.0	45.0	63.0	46.0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Chitinibacteraceae	61.0	49.0	15.0	15.0	14.0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Methylococcales;f__Methylomonadaceae	199.0	14.0	55.0	193.0	129.0
d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;__	26.0	0.0	5.0	0.0	1.0
d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Chloroplast;f__Chloroplast	48.0	163.0	27.0	9.0	5.0
d__Bacteria;p__Myxococcota;c__Myxococcia;o__Myxococcales;f__Anaeromyxobacteraceae	30.0	0.0	1.0	6.0	8.0
d__Bacteria;p__Actinobacteriota;c__Thermoleophilia;o__Gaiellales;f__uncultured	53.0	2.0	29.0	36.0	0.0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Sutterellaceae	15.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Desulfobacterota;c__Desulfovibrionia;o__Desulfovibrionales;f__Desulfovibrionaceae	50.0	0.0	81.0	9.0	6.0
d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Phormidesmiales;f__Nodosilineaceae	14.0	0.0	4.0	2.0	0.0
d__Bacteria;p__Firmicutes;c__Bacilli;__;__	14.0	0.0	0.0	9.0	2.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Weeksellaceae	12.0	9.0	17.0	18.0	48.0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Cardiobacteriales;f__Cardiobacteriales	29.0	51.0	7.0	8.0	25.0
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Propionibacteriales;f__Nocardioidaceae	11.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Desulfobacterota;c__Desulfobulbia;o__Desulfobulbales;f__Desulfobulbaceae	11.0	0.0	4.0	0.0	1.0
d__Bacteria;p__Planctomycetota;c__Planctomycetes;o__Pirellulales;f__Pirellulaceae	8.0	0.0	3.0	4.0	0.0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Methylococcales;f__Methylococcaceae	7.0	0.0	0.0	4.0	10.0
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Micrococcales;__	7.0	2.0	0.0	4.0	0.0
d__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae	6.0	4.0	3.0	0.0	0.0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;__	6.0	0.0	23.0	4.0	0.0
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Corynebacteriales;f__Mycobacteriaceae	3.0	0.0	12.0	8.0	0.0
d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Cyanobacteriales;f__Phormidiaceae	3.0	0.0	4.0	3.0	13.0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Alteromonadales;f__Shewanellaceae	0.0	17.0	42.0	18.0	33.0
d__Bacteria;p__Verrucomicrobiota;c__Chlamydiae;o__Chlamydiales;f__Parachlamydiaceae	0.0	0.0	5.0	0.0	5.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae	0.0	0.0	0.0	0.0	14.0
