# Constructed from biom file
#OTU ID	S22.111.Gut.S22	S22.113.Gut.S22	S22.112.Gut.S22	S22.115.Gut.S22	S22.114.Gut.S22
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Aeromonadales;f__Aeromonadaceae	15037.0	20295.0	14296.0	12107.0	14714.0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae	227.0	2.0	0.0	2.0	40.0
d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae	106.0	103.0	130.0	102.0	195.0
d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Cyanobacteriales;f__Phormidiaceae	164.0	44.0	73.0	25.0	105.0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Chitinibacteraceae	60.0	208.0	49.0	26.0	87.0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Aeromonadales;__	37.0	130.0	170.0	117.0	125.0
d__Bacteria;p__Firmicutes;c__Bacilli;o__RsaHf231;f__RsaHf231	23.0	2.0	3.0	4.0	4.0
d__Bacteria;p__Fusobacteriota;c__Fusobacteriia;o__Fusobacteriales;f__Fusobacteriaceae	24.0	99.0	183.0	24.0	57.0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Hafniaceae	11.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae	10.0	0.0	2.0	67.0	0.0
d__Bacteria;p__Firmicutes;c__Bacilli;o__Mycoplasmatales;f__Mycoplasmataceae	17.0	0.0	3.0	6.0	0.0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Cardiobacteriales;f__Cardiobacteriales	12.0	8.0	2.0	8.0	11.0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Rhodocyclaceae	7.0	0.0	0.0	0.0	3.0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Yersiniaceae	3.0	0.0	10.0	0.0	0.0
d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Enterococcaceae	2.0	0.0	3.0	0.0	13.0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Alteromonadales;f__Shewanellaceae	2.0	5.0	30.0	0.0	4.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae	0.0	5.0	17.0	0.0	0.0
