# Constructed from biom file
#OTU ID	S13.83.Gut.S13	S13.81.Gut.S13	S13.85.Gut.S13	S13.82.Gut.S13	S13.84.Gut.S13
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Aeromonadales;f__Aeromonadaceae	3143.0	1173.0	4662.0	4215.0	5567.0
d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae	1741.0	854.0	444.0	1272.0	396.0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Cardiobacteriales;f__Cardiobacteriales	548.0	895.0	527.0	400.0	491.0
d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Enterococcaceae	238.0	141.0	38.0	31.0	49.0
d__Bacteria;p__Fusobacteriota;c__Fusobacteriia;o__Fusobacteriales;f__Fusobacteriaceae	418.0	518.0	131.0	262.0	264.0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Yersiniaceae	565.0	349.0	95.0	223.0	131.0
d__Bacteria;p__Firmicutes;c__Bacilli;__;__	200.0	280.0	12.0	42.0	112.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Dysgonomonadaceae	301.0	581.0	71.0	55.0	137.0
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Micrococcales;__	191.0	163.0	104.0	69.0	44.0
d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelatoclostridiaceae	167.0	255.0	66.0	49.0	96.0
d__Bacteria;p__Firmicutes;c__Bacilli;o__RsaHf231;f__RsaHf231	165.0	228.0	18.0	42.0	78.0
d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;__	126.0	62.0	33.0	31.0	51.0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Alteromonadales;f__Shewanellaceae	80.0	0.0	23.0	66.0	0.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae	163.0	514.0	138.0	348.0	197.0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Rhodocyclaceae	100.0	116.0	114.0	37.0	51.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae	62.0	72.0	17.0	61.0	15.0
d__Bacteria;p__Desulfobacterota;c__Desulfovibrionia;o__Desulfovibrionales;f__Desulfovibrionaceae	113.0	286.0	32.0	78.0	159.0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Chitinibacteraceae	52.0	73.0	62.0	72.0	64.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae	95.0	268.0	38.0	62.0	94.0
d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Cyanobacteriales;f__Phormidiaceae	175.0	127.0	89.0	90.0	123.0
d__Bacteria;p__Firmicutes;c__Negativicutes;o__Acidaminococcales;f__Acidaminococcaceae	25.0	48.0	16.0	23.0	19.0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;__;__	16.0	23.0	388.0	305.0	28.0
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Micrococcales;f__Sanguibacteraceae	27.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae	15.0	0.0	6.0	5.0	11.0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Sutterellaceae	21.0	15.0	6.0	8.0	18.0
d__Bacteria;p__Actinobacteriota;c__Thermoleophilia;o__Gaiellales;f__uncultured	14.0	6.0	13.0	0.0	15.0
d__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae	13.0	41.0	0.0	2.0	4.0
d__Bacteria;p__Firmicutes;c__Bacilli;o__Mycoplasmatales;f__Mycoplasmataceae	30.0	20.0	106.0	148.0	221.0
d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Chloroplast;f__Chloroplast	26.0	36.0	29.0	25.0	33.0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;__	14.0	24.0	0.0	6.0	2.0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Comamonadaceae	9.0	17.0	0.0	3.0	55.0
d__Bacteria;p__Firmicutes;c__Bacilli;o__Exiguobacterales;f__Exiguobacteraceae	10.0	21.0	5.0	4.0	0.0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Methylococcales;f__Methylomonadaceae	8.0	6.0	0.0	7.0	0.0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Aeromonadales;__	7.0	5.0	24.0	10.0	226.0
d__Bacteria;p__Myxococcota;c__Myxococcia;o__Myxococcales;f__Anaeromyxobacteraceae	8.0	19.0	0.0	8.0	5.0
d__Bacteria;p__Planctomycetota;c__Planctomycetes;o__Isosphaerales;f__Isosphaeraceae	6.0	7.0	0.0	3.0	8.0
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__PeM15;f__PeM15	5.0	0.0	6.0	0.0	0.0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Methylococcales;f__Methylococcaceae	5.0	2.0	1.0	0.0	5.0
d__Bacteria;p__Desulfobacterota;c__Desulfuromonadia;o__Geobacterales;f__Geobacteraceae	0.0	9.0	0.0	2.0	1.0
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Propionibacteriales;f__Nocardioidaceae	0.0	8.0	0.0	0.0	4.0
d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Spirochaetales;f__Spirochaetaceae	0.0	1.0	0.0	0.0	10.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Weeksellaceae	0.0	0.0	1.0	12.0	0.0
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Corynebacteriales;f__Mycobacteriaceae	0.0	0.0	0.0	7.0	8.0
