# Constructed from biom file
#OTU ID	S21.59.Gut.S21	S21.60.Gut.S21	S21.56.Gut.S21	S21.57.Gut.S21	S21.58.Gut.S21
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Aeromonadales;f__Aeromonadaceae	12591.0	7730.0	11017.0	7717.0	9994.0
d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae	1295.0	2642.0	981.0	709.0	820.0
d__Bacteria;p__Firmicutes;c__Bacilli;o__Mycoplasmatales;f__Mycoplasmataceae	176.0	29.0	19.0	2.0	23.0
d__Bacteria;p__Fusobacteriota;c__Fusobacteriia;o__Fusobacteriales;f__Fusobacteriaceae	180.0	65.0	78.0	341.0	98.0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Cardiobacteriales;f__Cardiobacteriales	85.0	136.0	14.0	27.0	0.0
d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Cyanobacteriales;f__Phormidiaceae	109.0	527.0	61.0	387.0	221.0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Alteromonadales;f__Shewanellaceae	48.0	26.0	29.0	20.0	12.0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Aeromonadales;__	57.0	7.0	23.0	65.0	32.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae	27.0	6.0	4.0	124.0	33.0
d__Bacteria;p__Firmicutes;c__Bacilli;o__RsaHf231;f__RsaHf231	17.0	213.0	6.0	31.0	23.0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Chromobacteriaceae	4.0	0.0	1.0	6.0	0.0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;__;__	4.0	116.0	13.0	125.0	70.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae	4.0	14.0	0.0	6.0	0.0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Chitinibacteraceae	2.0	12.0	11.0	0.0	10.0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Methylococcales;f__Methylomonadaceae	2.0	0.0	0.0	34.0	2.0
d__Bacteria;p__Planctomycetota;c__Planctomycetes;o__Isosphaerales;f__Isosphaeraceae	2.0	4.0	0.0	4.0	0.0
d__Bacteria;p__Spirochaetota;c__Brevinematia;o__Brevinematales;f__Brevinemataceae	1.0	30.0	0.0	0.0	0.0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Yersiniaceae	0.0	280.0	0.0	554.0	252.0
d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Enterococcaceae	0.0	122.0	0.0	209.0	93.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Dysgonomonadaceae	0.0	146.0	3.0	397.0	43.0
d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Synechococcales;f__Cyanobiaceae	0.0	60.0	0.0	18.0	0.0
d__Bacteria;p__Firmicutes;c__Bacilli;__;__	0.0	19.0	0.0	0.0	0.0
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Micrococcales;__	0.0	24.0	0.0	45.0	0.0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Xanthomonadaceae	0.0	14.0	0.0	0.0	0.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae	0.0	13.0	0.0	69.0	5.0
d__Bacteria;p__Bdellovibrionota;c__Oligoflexia;o__Silvanigrellales;f__Silvanigrellaceae	0.0	10.0	3.0	0.0	4.0
d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelatoclostridiaceae	0.0	6.0	0.0	13.0	0.0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Sutterellaceae	0.0	5.0	0.0	1.0	4.0
d__Bacteria;p__Desulfobacterota;c__Desulfuromonadia;o__Geobacterales;f__Geobacteraceae	0.0	4.0	0.0	6.0	0.0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae	0.0	0.0	0.0	1331.0	0.0
d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae	0.0	0.0	0.0	10.0	0.0
